unix_time_offset,x_norm,y_norm,z,qx,qy,qz,qw
0,0,0,1.92743616,0.000174449,0.024325168,-0.688814136,0.724529739
0.206914186477661,-0.0464904429391026,0.181187427951954,1.927868687,-0.001044236,0.026031393,-0.687894771,0.725342719
0.414836168289185,-0.102957947645336,0.384791936026886,1.92848165,-0.002511429,0.027884895,-0.686103948,0.726964577
0.606756448745728,-0.148237203713506,0.559398856014013,1.925684997,-0.003145506,0.028336921,-0.685088771,0.727901435
0.79871654510498,-0.187135882675648,0.705190385924652,1.924842805,-0.00304037,0.027811277,-0.684011311,0.728934713
0.860925197601318,-0.205803058575839,0.772473989985883,1.925346086,-0.002827572,0.0272584,-0.683246174,0.72967366
1.00556397438049,-0.246163200587034,0.92745915800333,1.926579858,-0.001498503,0.025679435,-0.68249153,0.730440711
1.21236968040466,-0.292407671920955,1.1007595009869,1.931373441,5.488e-06,0.023317431,-0.681226514,0.73170126
1.41935873031616,-0.344938371796161,1.29598752292804,1.937089117,0.001266567,0.021476586,-0.679714193,0.733161488
1.61111235618591,-0.39200309291482,1.46304982795846,1.940876081,0.001077635,0.021204472,-0.678129085,0.734636069
1.81820487976074,-0.439251773990691,1.62651880201884,1.943339097,4.5282e-05,0.022317078,-0.676704585,0.735916334
2.02603244781494,-0.498946371953934,1.82720196398441,1.945321364,-0.001908058,0.024897264,-0.67495933,0.737432294
2.05836200714111,-0.501932857558131,1.83527065103408,1.945877792,-0.002185415,0.025055136,-0.674498552,0.737847659
2.23385238647461,-0.547317807562649,1.98518877197057,1.946729961,-0.00335746,0.027266155,-0.673116583,0.739025947
2.40980505943298,-0.592925201635808,2.13299575599376,1.946186473,-0.004502714,0.029043841,-0.671328259,0.740577173
2.63262677192688,-0.659501469694078,2.34255110099912,1.944257921,-0.004913788,0.030050521,-0.668821822,0.742798891
2.82350945472717,-0.708877249620855,2.49422688200139,1.942260247,-0.004465585,0.029442577,-0.667067642,0.744401742
3.03043866157532,-0.772084137890488,2.68209193402436,1.940437543,-0.002853828,0.02755493,-0.664941536,0.746381495
3.22244167327881,-0.826366092544049,2.83798023301642,1.941423191,-0.00106484,0.025401665,-0.663084114,0.748113013
3.36177611351013,-0.853462416678667,2.91013969399501,1.941539025,-0.000359391,0.02439388,-0.661962649,0.74913968
3.62123584747314,-0.946483954787254,3.17217301903293,1.942971364,0.000960709,0.021992869,-0.659092684,0.751739466
3.82803702354431,-1.00308926589787,3.32507779903244,1.942490556,0.000270466,0.022119303,-0.657039738,0.753531318
4.0040225982666,-1.05813037557527,3.46637508401182,1.942108619,-0.000779324,0.023545261,-0.654944001,0.755310114
4.22670936584473,-1.13753885775805,3.666301158024,1.942514808,-0.00292045,0.026528601,-0.651810995,0.757911691
4.43374037742615,-1.19782235473394,3.8109983690083,1.941824741,-0.004192131,0.029272213,-0.649578286,0.759719431
4.55935311317444,-1.22914413688704,3.88027600897476,1.941204151,-0.004566269,0.030479892,-0.648258259,0.760796526
4.8015398979187,-1.33233047975227,4.12470966600813,1.940247141,-0.003899736,0.029043652,-0.644598962,0.763959054
5.00822830200195,-1.40440494893119,4.28955252899323,1.937072508,-0.001770742,0.025059921,-0.641821352,0.766442573
5.21525192260742,-1.46910607768223,4.43427237297874,1.934175075,0.000547338,0.021889807,-0.639393713,0.76856764
5.40717840194702,-1.55007663695142,4.60972320695873,1.931699002,0.002468861,0.019289623,-0.6364203,0.771097281
5.61490416526794,-1.62465898599476,4.76758459198754,1.928520424,0.003021518,0.01884568,-0.633431265,0.773563536
5.80696558952332,-1.69217323558405,4.90839719597716,1.925896123,0.002023348,0.020003394,-0.630646552,0.775809705
6.01395606994629,-1.77839978970587,5.08453984500375,1.924113385,-0.000548483,0.023004468,-0.626993737,0.778684369
6.06408429145813,-1.78449972067028,5.09191224398091,1.923670334,-0.000721208,0.023228215,-0.626611803,0.778984967
6.42863297462463,-1.94018358364701,5.40139021002688,1.925115963,-0.004898234,0.028124822,-0.620042783,0.784048435
6.60453319549561,-2.0106392656453,5.53607581602409,1.926746917,-0.005073953,0.0288138,-0.617207675,0.786256132
6.81144428253174,-2.08889813767746,5.68250481993891,1.92860103,-0.004116062,0.02778105,-0.614215581,0.788638378
7.00334978103638,-2.1504466556944,5.79614005994517,1.929250221,-0.002702405,0.025878,-0.611916118,0.790494586
7.22612452507019,-2.26369804656133,5.9999373370083,1.928531092,0.000148079,0.021999663,-0.607731914,0.79383746
7.35782027244568,-2.30361509090289,6.06489990500268,1.928214135,0.000656234,0.020821862,-0.606187156,0.79504915
7.6239800453186,-2.44243629369885,6.30352831992786,1.932810099,0.001175095,0.019514814,-0.601162875,0.798887345
7.799880027771,-2.52222652873024,6.43413703597616,1.938285274,0.000195482,0.020373193,-0.598173297,0.801107734
8.00589776039124,-2.61123068770394,6.5788873359561,1.944625056,-0.001446412,0.02209328,-0.59476771,0.803592662
8.21366548538208,-2.70932496199384,6.73771071597002,1.949182651,-0.003269544,0.023901746,-0.590980313,0.806325174
8.42049860954285,-2.80116897495463,6.88636523496825,1.950755536,-0.004206229,0.024989629,-0.587461197,0.808855468
8.5604031085968,-2.84321618778631,6.94962023501284,1.950841718,-0.004402813,0.025269882,-0.585777661,0.810065788
8.80329895019531,-2.95659421058372,7.12975805602036,1.951559555,-0.00420564,0.025370987,-0.581569582,0.81309006
9.01004481315613,-3.08161471178755,7.31316097499803,1.94973069,-0.003195315,0.024823754,-0.577224173,0.816202073
9.21698045730591,-3.17522481177002,7.44546592596453,1.949129783,-0.002428754,0.024059424,-0.57407849,0.818443114
